"county_state","dma","TotalPopulation","numrace","numincome","PercentWhite","PercentBlackAfrAm","PercentAsian","PercentAge0to19","PercentAge20to39","PercentAge40Plus","PercentIncome0to50k","PercentIncome50to99k","PercentIncome100to149k","PercentIncome150to199k","PercentIncome200kPlus","TotalSales","SalesPerCapita","logpop","predicted_sales_per_cap","difference_scp","county","state","DMA"
"Abbeville, SC","Greenville-Spartanburg SC-Asheville NC-Anderson SC",3639,3573,1175,67.898124825077,29.946823397705,2.15505177721802,25.5289914811761,25.3366309425666,49.1343775762572,55.4893617021277,30.9787234042553,9.78723404255319,2.21276595744681,1.53191489361702,852,0.229185937793736,8.19946419761216,0.358672976493835,-0.1294870387001,"Abbeville","SC","Greenville-Spartanburg SC-Asheville NC-Anderson SC"
"Acadia, LA","Lafayette LA",14309,13942,4757,82.0542246449577,17.9457753550423,0,32.4830526242225,27.5071633237822,40.0097840519952,58.8606264452386,23.9016186672272,13.6640739962161,1.51355896573471,2.06012192558335,160,0.0114510995244562,9.56864398890674,0.350002586841583,-0.338551487317127,"Acadia","LA","Lafayette LA"
"Accomack, VA","Norfolk-Portsmouth-Newport News VA",8682,8590,3708,75.0058207217695,23.0384167636787,0.838183934807916,23.8078783690394,19.5001151808339,56.6920064501267,48.5706580366775,33.7918015102481,9.08845738942826,4.69255663430421,3.85652642934196,4256,0.531738269215069,9.06900719585954,0.368572801351547,0.163165467863522,"Accomack","VA","Norfolk-Portsmouth-Newport News VA"
"Accomack, VA","null",2019,1968,592,54.8272357723577,45.1727642276423,0,29.1233283803863,28.2317979197623,42.6448736998514,54.5608108108108,33.9527027027027,7.93918918918919,3.5472972972973,0,671,0.33234274393264,7.61035761831284,0.349304586648941,-0.0169618427163011,"Accomack","VA","Norfolk-Portsmouth-Newport News VA"
"Ada, ID","Boise ID",70541,67479,28548,96.0269120763497,0.809140621526697,2.49262733591191,23.7875845253115,26.3733148098269,49.8391006648616,39.7505954883004,31.0634720470786,14.2742048479753,6.67997758161693,8.23175003502872,7885,0.122427421408411,11.1639493800434,0.443386018276215,-0.320958596867804,"Ada","ID","Boise ID"
"Adair, KY","Louisville KY",14436,14289,5087,94.6812233186367,4.16404227027784,0.839806844425782,26.3230811859241,24.8614574674425,48.8154613466334,62.6302339296245,25.3587576174563,7.62728523687832,2.83074503636721,1.55297817967368,659,0.0466005360558668,9.57748036576268,0.352505266666412,-0.305904730610546,"Adair","KY","Louisville KY"
"Adair, MO","OttumwaIa-Kirksville MO",9231,9020,3635,96.0753880266075,1.74057649667406,1.59645232815965,26.4868378290543,28.3284584552053,45.1847037157404,50.7290233837689,31.4718019257221,12.7647867950481,4.37414030261348,0.660247592847318,423,0.0463496537277341,9.13032266399015,0.400559723377228,-0.354210069649494,"Adair","MO","OttumwaIa-Kirksville MO"
"Adair, OK","Tulsa OK",4375,3977,1557,60.8750314307267,0.176012069399044,0.477747045511692,27.3828571428571,23.9542857142857,48.6628571428571,67.6300578034682,22.2222222222222,8.15671162491972,0.770712909441233,1.22029543994862,285,0.059381771629775,8.38366179879172,0.34685343503952,-0.287471663409745,"Adair","OK","Tulsa OK"
"Adams, CO","Denver CO",390327,350446,128391,90.2635498764432,3.86050917973097,4.52109597484348,29.3569238100362,30.9389306914459,39.7041454985179,35.4004564182848,34.5982195013669,17.5954700874672,7.36422334898864,5.04163064389248,321073,0.883741509083357,12.8747401283318,0.514480113983154,0.369261395100203,"Adams","CO","Denver CO"
"Adams, IL","QuincyIl-Hannibal MO-Keokuk IA",38635,37905,15529,93.4335839598997,5.02044585147078,1.09220419469727,25.3707777921574,24.1542642681506,50.474957939692,44.4651941528753,34.2134071736751,13.1817889110696,4.26299182175285,3.87661794062721,51108,1.29034123110024,10.5619138803677,0.488750159740448,0.801591071359792,"Adams","IL","QuincyIl-Hannibal MO-Keokuk IA"
"Adams, IN","Ft. Wayne IN",28063,27527,9638,98.2417263050823,1.32960366185927,0.37781087659389,35.4203043152906,23.6218508356199,40.9578448490895,48.3606557377049,32.2473542228678,14.0900601784603,2.43826520024901,2.86366466071799,5898,0.215734418266351,10.2422072616978,0.39588725566864,-0.180152837402289,"Adams","IN","Ft. Wayne IN"
"Adams, MS","Jackson MS",11475,11382,4204,29.5115094008083,70.4094183798981,0.0790722192936215,25.1328976034858,24.2614379084967,50.6056644880174,66.674595623216,22.1693625118934,5.63748810656518,3.44909609895338,2.06945765937203,1176,0.0997014794850858,9.34792603492875,0.348315000534058,-0.248613521048972,"Adams","MS","Jackson MS"
"Adams, NE","Lincoln & Hastings-Kearney NE",21721,20982,8643,97.7599847488323,0.781622342960633,1.25822133257077,27.7151144054141,23.7281893098844,48.5566962847014,46.0372555825524,30.8573412009719,15.492305912299,4.26935091981951,3.34374638435728,4789,0.230545540980608,9.98603481350369,0.405886739492416,-0.175341198511808,"Adams","NE","Lincoln & Hastings-Kearney NE"
